,title_ramowka,redactor,datetime
4995,Sobotni brzask,"Maciej Jankowski, Weronika Wawrzkowicz ",2023-01-14 07:00:00
4996,Koncert życzeń,"Adriana Bąkowska, Michał Nogaś ",2023-01-14 10:00:00
4997,Deliberatorium,Beata Grabarczyk ,2023-01-14 12:00:00
4998,Muzyczny gabinet terapeutyczny,Monika Borzym,2023-01-14 13:00:00
4999,Sny kolorowe,Barbara Gregorczyk,2023-01-14 14:00:00
5000,Stulecie dziwów,Jerzy Sosnowski ,2023-01-14 15:00:00
5001,Miłomuzomania,Kinga Krasuska,2023-01-14 16:00:00
5002,Mięta do (pop)kultury,Katarzyna Oklińska,2023-01-14 18:00:00
5003,"Szczyt wszystkiego, czyli każda lista świata","Mateusz Andruszkiewicz, Maciej Jankowski, Marcin Mann",2023-01-14 19:00:00
5004,TIP-TOP Lista Radia Nowy Świat,Michał Porycki ,2023-01-14 20:00:00
5005,Domówka,Paweł Orlikowski,2023-01-14 22:00:00
5006,"Koncert ""Jazz po polsku""",,2023-01-15 00:00:00
5007,Muzyka do rana,,2023-01-15 01:00:00
5008,De Cuba Su Musica,Jose Torres,2023-01-15 08:00:00
5009,Soulówka,Mikołaj Tyczyński,2023-01-15 10:00:00
5010,Manniak po omacku,Wojciech Mann,2023-01-15 11:00:00
5011,Raczek movie,Tomasz Raczek ,2023-01-15 13:00:00
5012,Etykieta zastępcza,Adam Stasiak,2023-01-15 14:00:00
5013,Pora siesty,Marcin Kydryński,2023-01-15 15:00:00
5014,W głębi duszy,Eliza Michalik ,2023-01-15 17:00:00
5015,Nie tylko hip-hop,Mateusz Andruszkiewicz,2023-01-15 18:00:00
5016,Czytał Michał Nogaś,Michał Nogaś ,2023-01-15 19:00:00
5017,Z archiwum polskiej rozrywki,"Weronika Wawrzkowicz, Michał Nogaś",2023-01-15 20:00:00
5018,Nocne miraże,Marcelina Słomian,2023-01-15 22:00:00
5019,Muzyka do rana,,2023-01-16 00:00:00
5020,Nowy świt,Mateusz Andruszkiewicz ,2023-01-16 06:00:00
5021,Muzoleum,Wojciech Mann,2023-01-16 10:00:00
5022,W środku dnia,Jan Niebudek ,2023-01-16 11:00:00
5023,Dziękuję za wypowiedź,Adam Nowak,2023-01-16 14:00:00
5024,Nowy Świat po południu,Ksenia Maćczak ,2023-01-16 16:00:00
5025,Strumień zdumień,Jan Chojnacki,2023-01-16 19:00:00
5026,JerzoBrzmienia,Jerzy Sosnowski,2023-01-16 21:00:00
5027,Muzyka bardzo poważna,Krzysztof Grabowski,2023-01-16 22:00:00
5028,Muzyka do rana,,2023-01-17 00:00:00
5029,Nowy świt,Katarzyna Kasia ,2023-01-17 06:00:00
5030,Motyw przewodni,Mateusz Kuśmierek,2023-01-17 10:00:00
5031,W środku dnia,Mateusz Andruszkiewicz ,2023-01-17 11:00:00
5032,Personal bigos,Marcin Mann,2023-01-17 14:00:00
5033,Akademia rocka,Adam Stasiak,2023-01-17 15:00:00
5034,Nowy Świat po południu,Michał Porycki ,2023-01-17 16:00:00
5035,Wagle,"Wojciech Waglewski, Fisz",2023-01-17 19:00:00
5036,Punkt widzenia,Beata Grabarczyk ,2023-01-17 21:00:00
5037,Świat naszej muzyki,Bartek Winczewski,2023-01-17 22:00:00
5038,Muzyka do rana,,2023-01-18 00:00:00
5039,Nowy świt,Mateusz Andruszkiewicz ,2023-01-18 06:00:00
5040,Wszystko gra,Maciej Jankowski,2023-01-18 10:00:00
5041,W środku dnia,Jan Niebudek ,2023-01-18 11:00:00
5042,Dzieci bluesa,Jan Chojnacki,2023-01-18 14:00:00
5043,Nowy Świat po południu,Michał Porycki ,2023-01-18 16:00:00
5044,Bon ton,Agnieszka Lipka-Barnett,2023-01-18 19:00:00
5045,Słowo daję,Jarosław Mikołajewski ,2023-01-18 21:00:00
5046,Muzyka do czytania,Michał Nogaś,2023-01-18 22:00:00
5047,Muzyka do rana,,2023-01-19 00:00:00
5048,Nowy świt,Katarzyna Kasia ,2023-01-19 06:00:00
5049,Numer na bis,Maria Zamachowska,2023-01-19 10:00:00
5050,W środku dnia,Jan Niebudek ,2023-01-19 11:00:00
5051,Zamach na dziesiątą muzę,Zbigniew Zamachowski,2023-01-19 14:00:00
5052,Nowy Świat po południu,Michał Porycki ,2023-01-19 16:00:00
5053,Napiór w eterze,Marek Napiórkowski,2023-01-19 19:00:00
5054,Punkt widzenia,Beata Grabarczyk,2023-01-19 21:00:00
5055,Nocny świat,Mikołaj Kierski,2023-01-19 22:00:00
5056,Powidoki,Bruno Jasieński,2023-01-19 23:00:00
5057,Muzyka do rana,,2023-01-20 00:00:00
5058,Poranna Manna,Wojciech Mann ,2023-01-20 06:00:00
5059,Dobrze nastrojone,Marcelina Słomian,2023-01-20 10:00:00
5060,W środku dnia,Jan Niebudek ,2023-01-20 11:00:00
5061,Klimaty na raty,Jan Janczy,2023-01-20 14:00:00
5062,Nowy Świat po południu,Michał Porycki ,2023-01-20 16:00:00
