,title_ramowka,redactor,datetime
1908,Rewersje,Bartek Winczewski,2022-03-28 10:00:00
1909,W środku dnia,Jan Niebudek,2022-03-28 11:00:00
1910,Dziękuję za wypowiedź,Adam Nowak,2022-03-28 14:00:00
1911,Nowy Świat po południu,Ksenia Maćczak,2022-03-28 16:00:00
1912,Strumień zdumień,Jan Chojnacki,2022-03-28 19:00:00
1913,Punkt widzenia,Jerzy Sosnowski,2022-03-28 21:00:00
1914,Muzyka bardzo poważna,Krzysztof Grabowski,2022-03-28 22:00:00
1915,Nasze nocne granie,,2022-03-29 00:00:00
1916,Muzyka do rana,,2022-03-29 01:00:00
1917,Nowy świt,Katarzyna Kasia,2022-03-29 06:00:00
1918,Motyw przewodni,Mateusz Kuśmierek,2022-03-29 10:00:00
1919,W środku dnia,Mateusz Andruszkiewicz,2022-03-29 11:00:00
1920,Personal bigos,Marcin Mann,2022-03-29 14:00:00
1921,Soulówka,Mikołaj Tyczyński,2022-03-29 15:00:00
1922,Nowy Świat po południu,Michał Porycki,2022-03-29 16:00:00
1923,Wagle,"Wojciech Waglewski, Fisz",2022-03-29 19:00:00
1924,Punkt widzenia,Beata Grabarczyk,2022-03-29 21:00:00
1925,90/h,Bartek Winczewski,2022-03-29 22:00:00
1926,Nasze nocne granie,,2022-03-30 00:00:00
1927,Muzyka do rana,,2022-03-30 01:00:00
1928,Nowy świt,Mateusz Andruszkiewicz,2022-03-30 06:00:00
1929,Wszystko gra,Maciej Jankowski,2022-03-30 10:00:00
1930,W środku dnia,Jan Niebudek,2022-03-30 11:00:00
1931,Dzieci bluesa,Jan Chojnacki,2022-03-30 14:00:00
1932,Nowy Świat po południu,Michał Porycki,2022-03-30 16:00:00
1933,Bon ton,Agnieszka Lipka-Barnett,2022-03-30 19:00:00
1934,Słowo daję,Jarosław Mikołajewski,2022-03-30 21:00:00
1935,Muzyka do czytania,Michał Nogaś,2022-03-30 22:00:00
1936,Nasze nocne granie,,2022-03-31 00:00:00
1937,Muzyka do rana,,2022-03-31 01:00:00
1938,Nowy świt,"Katarzyna Kasia, Grzegorz Markowski",2022-03-31 06:00:00
1939,Numer na bis,Maria Zamachowska,2022-03-31 10:00:00
1940,W środku dnia,Jan Niebudek,2022-03-31 11:00:00
1941,Zamach na dziesiątą muzę,Zbigniew Zamachowski,2022-03-31 14:00:00
1942,Nowy Świat po południu,Michał Porycki,2022-03-31 16:00:00
1943,Napiór w eterze,Marek Napiórkowski,2022-03-31 19:00:00
1944,Punkt widzenia,Beata Grabarczyk,2022-03-31 21:00:00
1945,Nocny świat,Mikołaj Kierski,2022-03-31 22:00:00
1946,Sejsmograf,Kinga Krasuska,2022-03-31 23:00:00
1947,Nasze nocne granie,,2022-04-01 00:00:00
1948,Muzyka do rana,,2022-04-01 01:00:00
1949,Poranna Manna,Wojciech Mann,2022-04-01 06:00:00
1950,Dobrze nastrojone,Marcelina Słomian,2022-04-01 10:00:00
1951,W środku dnia,Jan Niebudek,2022-04-01 11:00:00
1952,Świat nowej muzyki,Bartek Winczewski,2022-04-01 13:00:00
1953,Klimaty na raty,Jan Janczy,2022-04-01 14:00:00
1954,Nowy Świat po południu,Michał Porycki,2022-04-01 16:00:00
1955,RadioAktywni,Jacek Nizinkiewicz,2022-04-01 19:00:00
1956,Sny kolorowe,Adam Stasiak,2022-04-01 21:00:00
1957,Powidoki,Bruno Jasieński,2022-04-01 22:00:00
1958,U progu nocy,Kamil Wrona,2022-04-01 23:00:00
1959,Muzyka do rana,,2022-04-02 00:00:00
1960,Sobotni brzask,Maciej Jankowski,2022-04-02 07:00:00
1961,Koncert życzeń,,2022-04-02 10:00:00
1962,Deliberatorium,Beata Grabarczyk,2022-04-02 12:00:00
1963,Muzyczny gabinet terapeutyczny,Monika Borzym,2022-04-02 13:00:00
1964,Radiolokacja,"Barbara Gregorczyk, Maciej Grzenkowicz",2022-04-02 14:00:00
1965,Stulecie dziwów,Jerzy Sosnowski,2022-04-02 15:00:00
1966,Miłomuzomania,Kinga Krasuska,2022-04-02 16:00:00
1967,Mięta do (pop)kultury,Katarzyna Oklińska,2022-04-02 18:00:00
1968,"Szczyt wszystkiego, czyli każda lista świata","Mateusz Andruszkiewicz, Maciej Jankowski, Marcin Mann",2022-04-02 19:00:00
1969,TIP-TOP Lista Radia Nowy Świat,Michał Porycki,2022-04-02 20:00:00
1970,Domówka,Paweł Orlikowski,2022-04-02 22:00:00
1971,Muzyka do rana,,2022-04-03 00:00:00
1972,De Cuba Su Musica,Jose Torres,2022-04-03 08:00:00
1973,Zbiory prywatne,Maria Zamachowska,2022-04-03 10:00:00
1974,Manniak po omacku,Wojciech Mann,2022-04-03 11:00:00
1975,Raczek movie,Tomasz Raczek,2022-04-03 13:00:00
1976,Wesoła warszawska fala,Jan Emil Młynarski,2022-04-03 14:00:00
1977,Pora siesty,Marcin Kydryński,2022-04-03 15:00:00
1978,W głębi duszy,Eliza Michalik,2022-04-03 17:00:00
1979,Nie tylko hip-hop,Mateusz Andruszkiewicz,2022-04-03 18:00:00
1980,Czytał Michał Nogaś,Michał Nogaś,2022-04-03 19:00:00
1981,Piosennik,Andrzej Poniedzielski,2022-04-03 20:00:00
1982,Dobrze nastrojone po polsku,Marcelina Słomian,2022-04-03 22:00:00
1983,Osobiste wycieczki,Maciej Grzenkowicz,2022-04-03 23:00:00
1984,Muzyka do rana,,2022-04-04 00:00:00
1985,Nowy świt,Maciej Orłoś,2022-04-04 06:00:00
1986,Rewersje,Bartek Winczewski,2022-04-04 10:00:00
1987,W środku dnia,Jan Niebudek,2022-04-04 11:00:00
1988,Dziękuję za wypowiedź,Adam Nowak,2022-04-04 14:00:00
1989,Nowy Świat po południu,Ksenia Maćczak,2022-04-04 16:00:00
1990,Strumień zdumień,Jan Chojnacki,2022-04-04 19:00:00
1991,Punkt widzenia,Jerzy Sosnowski,2022-04-04 21:00:00
1992,Muzyka bardzo poważna,Krzysztof Grabowski,2022-04-04 22:00:00
1993,Nasze nocne granie,,2022-04-05 00:00:00
1994,Muzyka do rana,,2022-04-05 01:00:00
1995,Nowy świt,Katarzyna Kasia,2022-04-05 06:00:00
1996,Motyw przewodni,Mateusz Kuśmierek,2022-04-05 10:00:00
1997,W środku dnia,Mateusz Andruszkiewicz,2022-04-05 11:00:00
1998,Personal bigos,Marcin Mann,2022-04-05 14:00:00
1999,Soulówka,Mikołaj Tyczyński,2022-04-05 15:00:00
2000,Nowy Świat po południu,Michał Porycki,2022-04-05 16:00:00
2001,Wagle,"Wojciech Waglewski, Fisz",2022-04-05 19:00:00
2002,Punkt widzenia,Beata Grabarczyk,2022-04-05 21:00:00
2003,90/h,Bartek Winczewski,2022-04-05 22:00:00
2004,Nasze nocne granie,,2022-04-06 00:00:00
2005,Muzyka do rana,,2022-04-06 01:00:00
2006,Nowy świt,Mateusz Andruszkiewicz,2022-04-06 06:00:00
2007,Wszystko gra,Maciej Jankowski,2022-04-06 10:00:00
2008,W środku dnia,Jan Niebudek,2022-04-06 11:00:00
2009,Dzieci bluesa,Jan Chojnacki,2022-04-06 14:00:00
2010,Nowy Świat po południu,Michał Porycki,2022-04-06 16:00:00
2011,Bon ton,Agnieszka Lipka-Barnett,2022-04-06 19:00:00
2012,Słowo daję,Jarosław Mikołajewski,2022-04-06 21:00:00
2013,Muzyka do czytania,Michał Nogaś,2022-04-06 22:00:00
2014,Nasze nocne granie,,2022-04-07 00:00:00
2015,Muzyka do rana,,2022-04-07 01:00:00
2016,Nowy świt,"Katarzyna Kasia, Grzegorz Markowski",2022-04-07 06:00:00
2017,Numer na bis,Maria Zamachowska,2022-04-07 10:00:00
2018,W środku dnia,Jan Niebudek,2022-04-07 11:00:00
2019,Zamach na dziesiątą muzę,Zbigniew Zamachowski,2022-04-07 14:00:00
2020,Nowy Świat po południu,Michał Porycki,2022-04-07 16:00:00
2021,Napiór w eterze,Marek Napiórkowski,2022-04-07 19:00:00
2022,Punkt widzenia,Beata Grabarczyk,2022-04-07 21:00:00
2023,Nocny świat,Mikołaj Kierski,2022-04-07 22:00:00
2024,Sejsmograf,Kinga Krasuska,2022-04-07 23:00:00
2025,Nasze nocne granie,,2022-04-08 00:00:00
2026,Muzyka do rana,,2022-04-08 01:00:00
2027,Poranna Manna,Wojciech Mann,2022-04-08 06:00:00
2028,Dobrze nastrojone,Marcelina Słomian,2022-04-08 10:00:00
2029,W środku dnia,Jan Niebudek,2022-04-08 11:00:00
2030,Świat nowej muzyki,Bartek Winczewski,2022-04-08 13:00:00
2031,Klimaty na raty,Jan Janczy,2022-04-08 14:00:00
2032,Nowy Świat po południu,Michał Porycki,2022-04-08 16:00:00
2033,RadioAktywni,Jacek Nizinkiewicz,2022-04-08 19:00:00
2034,Sny kolorowe,,2022-04-08 21:00:00
2035,Powidoki,Bruno Jasieński,2022-04-08 22:00:00
2036,U progu nocy,Kamil Wrona,2022-04-08 23:00:00
2037,Muzyka do rana,,2022-04-09 00:00:00
2038,Sobotni brzask,Maciej Jankowski,2022-04-09 07:00:00
2039,Koncert życzeń,"Katarzyna Kasia, Wojciech Malajkat",2022-04-09 10:00:00
2040,Deliberatorium,Beata Grabarczyk,2022-04-09 12:00:00
2041,Muzyczny gabinet terapeutyczny,Monika Borzym,2022-04-09 13:00:00
2042,Radiolokacja,"Barbara Gregorczyk, Maciej Grzenkowicz",2022-04-09 14:00:00
2043,Stulecie dziwów,Jerzy Sosnowski,2022-04-09 15:00:00
2044,Miłomuzomania,Kinga Krasuska,2022-04-09 16:00:00
2045,Mięta do (pop)kultury,Katarzyna Oklińska,2022-04-09 18:00:00
2046,"Szczyt wszystkiego, czyli każda lista świata","Mateusz Andruszkiewicz, Maciej Jankowski, Marcin Mann",2022-04-09 19:00:00
2047,TIP-TOP Lista Radia Nowy Świat,Michał Porycki,2022-04-09 20:00:00
2048,Domówka,Paweł Orlikowski,2022-04-09 22:00:00
2049,Muzyka do rana,,2022-04-10 00:00:00
2050,De Cuba Su Musica,Jose Torres,2022-04-10 08:00:00
2051,Zbiory prywatne,Maria Zamachowska,2022-04-10 10:00:00
2052,Manniak po omacku,Wojciech Mann,2022-04-10 11:00:00
2053,Raczek movie,Tomasz Raczek,2022-04-10 13:00:00
2054,Wesoła warszawska fala,Jan Emil Młynarski,2022-04-10 14:00:00
2055,Pora siesty,Marcin Kydryński,2022-04-10 15:00:00
2056,W głębi duszy,Eliza Michalik,2022-04-10 17:00:00
2057,Nie tylko hip-hop,Mateusz Andruszkiewicz,2022-04-10 18:00:00
2058,Czytał Michał Nogaś,Michał Nogaś,2022-04-10 19:00:00
2059,Piosennik,Andrzej Poniedzielski,2022-04-10 20:00:00
2060,Dobrze nastrojone po polsku,Marcelina Słomian,2022-04-10 22:00:00
2061,Osobiste wycieczki,Maciej Grzenkowicz,2022-04-10 23:00:00
2062,Muzyka do rana,,2022-04-11 00:00:00
2063,Nowy świt,Mateusz Andruszkiewicz,2022-04-11 06:00:00
2064,Rewersje,Bartek Winczewski,2022-04-11 10:00:00
2065,W środku dnia,Jan Niebudek,2022-04-11 11:00:00
2066,Dziękuję za wypowiedź,Adam Nowak,2022-04-11 14:00:00
2067,Nowy Świat po południu,Fisz,2022-04-11 16:00:00
2068,Strumień zdumień,Jan Chojnacki,2022-04-11 19:00:00
2069,Punkt widzenia,Jerzy Sosnowski,2022-04-11 21:00:00
2070,Muzyka bardzo poważna,Krzysztof Grabowski,2022-04-11 22:00:00
2071,Nasze nocne granie,Kinga Krasuska,2022-04-12 00:00:00
2072,Muzyka do rana,,2022-04-12 01:00:00
2073,Nowy świt,Katarzyna Kasia,2022-04-12 06:00:00
2074,Motyw przewodni,Mateusz Kuśmierek,2022-04-12 10:00:00
2075,W środku dnia,Mateusz Andruszkiewicz,2022-04-12 11:00:00
2076,Personal bigos,Marcin Mann,2022-04-12 14:00:00
2077,Soulówka,Mikołaj Tyczyński,2022-04-12 15:00:00
2078,Nowy Świat po południu,Michał Porycki,2022-04-12 16:00:00
2079,Wagle,"Wojciech Waglewski, Fisz",2022-04-12 19:00:00
2080,Punkt widzenia,Beata Grabarczyk,2022-04-12 21:00:00
2081,90/h,Bartek Winczewski,2022-04-12 22:00:00
2082,Nasze nocne granie,Kajetan Strzelczyk,2022-04-13 00:00:00
2083,Muzyka do rana,,2022-04-13 01:00:00
2084,Nowy świt,Mateusz Andruszkiewicz,2022-04-13 06:00:00
2085,Wszystko gra,Maciej Jankowski,2022-04-13 10:00:00
2086,W środku dnia,Jan Niebudek,2022-04-13 11:00:00
2087,Dzieci bluesa,Jan Chojnacki,2022-04-13 14:00:00
2088,Nowy Świat po południu,Michał Porycki,2022-04-13 16:00:00
2089,Bon ton,Agnieszka Lipka-Barnett,2022-04-13 19:00:00
2090,Słowo daję,Jarosław Mikołajewski,2022-04-13 21:00:00
2091,Muzyka do czytania,Michał Nogaś,2022-04-13 22:00:00
2092,Nasze nocne granie,,2022-04-14 00:00:00
2093,Muzyka do rana,,2022-04-14 01:00:00
2094,Nowy świt,"Katarzyna Kasia, Grzegorz Markowski",2022-04-14 06:00:00
2095,Numer na bis,Maria Zamachowska,2022-04-14 10:00:00
2096,W środku dnia,Jan Niebudek,2022-04-14 11:00:00
2097,Zamach na dziesiątą muzę,Zbigniew Zamachowski,2022-04-14 14:00:00
2098,Nowy Świat po południu,Michał Porycki,2022-04-14 16:00:00
2099,Napiór w eterze,Marek Napiórkowski,2022-04-14 19:00:00
2100,Punkt widzenia,Beata Grabarczyk,2022-04-14 21:00:00
2101,Nocny świat,Mikołaj Kierski,2022-04-14 22:00:00
2102,Sejsmograf,Kinga Krasuska,2022-04-14 23:00:00
2103,Nasze nocne granie,Bruno Jasieński,2022-04-15 00:00:00
2104,Muzyka do rana,,2022-04-15 01:00:00
2105,Poranna Manna,Wojciech Mann,2022-04-15 06:00:00
2106,Dobrze nastrojone,Marcelina Słomian,2022-04-15 10:00:00
2107,W środku dnia,Jan Niebudek,2022-04-15 11:00:00
2108,Świat nowej muzyki,Bartek Winczewski,2022-04-15 13:00:00
2109,Klimaty na raty,Jan Janczy,2022-04-15 14:00:00
2110,Nowy Świat po południu,Michał Porycki,2022-04-15 16:00:00
2111,RadioAktywni,Jacek Nizinkiewicz,2022-04-15 19:00:00
2112,Sny kolorowe,Adam Stasiak,2022-04-15 21:00:00
2113,Powidoki,Bruno Jasieński,2022-04-15 22:00:00
2114,U progu nocy,Kamil Wrona,2022-04-15 23:00:00
2115,Muzyka do rana,,2022-04-16 00:00:00
2116,Sobotni brzask,Maciej Jankowski,2022-04-16 07:00:00
2117,Koncert życzeń dla Patronów,"Joanna Kołaczkowska, Michał Nogaś",2022-04-16 10:00:00
2118,Deliberatorium,Beata Grabarczyk,2022-04-16 12:00:00
2119,Muzyczny gabinet terapeutyczny,Monika Borzym,2022-04-16 13:00:00
2120,Radiolokacja,"Barbara Gregorczyk, Maciej Grzenkowicz",2022-04-16 14:00:00
2121,Stulecie dziwów,Jerzy Sosnowski,2022-04-16 15:00:00
2122,Miłomuzomania,Kinga Krasuska,2022-04-16 16:00:00
2123,Mięta do (pop)kultury,Katarzyna Oklińska,2022-04-16 18:00:00
2124,"Szczyt wszystkiego, czyli każda lista świata","Mateusz Andruszkiewicz, Maciej Jankowski, Marcin Mann",2022-04-16 19:00:00
2125,TIP-TOP Lista Radia Nowy Świat,Michał Porycki,2022-04-16 20:00:00
2126,Domówka,Paweł Orlikowski,2022-04-16 22:00:00
2127,Muzyka do rana,,2022-04-17 00:00:00
2128,De Cuba Su Musica,Jose Torres,2022-04-17 08:00:00
2129,Zbiory prywatne,Maria Zamachowska,2022-04-17 10:00:00
2130,Manniak po omacku,Wojciech Mann,2022-04-17 11:00:00
2131,Raczek movie,Tomasz Raczek,2022-04-17 13:00:00
2132,Wesoła warszawska fala,Jan Emil Młynarski,2022-04-17 14:00:00
2133,Pora siesty,Marcin Kydryński,2022-04-17 15:00:00
2134,W głębi duszy,Eliza Michalik,2022-04-17 17:00:00
2135,Nie tylko hip-hop,Mateusz Andruszkiewicz,2022-04-17 18:00:00
2136,Czytał Michał Nogaś,Michał Nogaś,2022-04-17 19:00:00
2137,Piosennik,Andrzej Poniedzielski,2022-04-17 20:00:00
2138,Dobrze nastrojone po polsku,Marcelina Słomian,2022-04-17 22:00:00
2139,Osobiste wycieczki,Maciej Grzenkowicz,2022-04-17 23:00:00
2140,Nowy świt,Maciej Orłoś,2022-04-18 07:00:00
2141,Rewersje,Bartek Winczewski,2022-04-18 10:00:00
2142,W środku dnia,Jan Niebudek,2022-04-18 11:00:00
2143,Dziękuję za wypowiedź,Adam Nowak,2022-04-18 14:00:00
2144,Nowy Świat po południu,Ksenia Maćczak,2022-04-18 16:00:00
2145,Strumień zdumień,Jan Chojnacki,2022-04-18 19:00:00
2146,Muzyka bardzo poważna,Krzysztof Grabowski,2022-04-18 22:00:00
2147,Nasze nocne granie,Maciej Jankowski,2022-04-19 00:00:00
2148,Muzyka do rana,,2022-04-19 01:00:00
2149,Nowy świt,Katarzyna Kasia,2022-04-19 06:00:00
2150,Motyw przewodni,Mateusz Kuśmierek,2022-04-19 10:00:00
2151,W środku dnia,Mateusz Andruszkiewicz,2022-04-19 11:00:00
2152,Personal bigos,Marcin Mann,2022-04-19 14:00:00
2153,Soulówka,Mikołaj Tyczyński,2022-04-19 15:00:00
2154,Nowy Świat po południu,Michał Porycki,2022-04-19 16:00:00
2155,Wagle,"Wojciech Waglewski, Fisz",2022-04-19 19:00:00
2156,Punkt widzenia,Beata Grabarczyk,2022-04-19 21:00:00
2157,90/h,Bartek Winczewski,2022-04-19 22:00:00
2158,Nasze nocne granie,,2022-04-20 00:00:00
2159,Muzyka do rana,,2022-04-20 01:00:00
2160,Nowy świt,Mateusz Andruszkiewicz,2022-04-20 06:00:00
2161,Wszystko gra,Maciej Jankowski,2022-04-20 10:00:00
2162,W środku dnia,Jan Niebudek,2022-04-20 11:00:00
2163,Dzieci bluesa,Jan Chojnacki,2022-04-20 14:00:00
2164,Nowy Świat po południu,Michał Porycki,2022-04-20 16:00:00
2165,Bon ton,Agnieszka Lipka-Barnett,2022-04-20 19:00:00
2166,Słowo daję,Jarosław Mikołajewski,2022-04-20 21:00:00
2167,Muzyka do czytania,Michał Nogaś,2022-04-20 22:00:00
2168,Nasze nocne granie,,2022-04-21 00:00:00
2169,Muzyka do rana,,2022-04-21 01:00:00
2170,Nowy świt,"Katarzyna Kasia, Grzegorz Markowski",2022-04-21 06:00:00
2171,Numer na bis,Maria Zamachowska,2022-04-21 10:00:00
2172,W środku dnia,Jan Niebudek,2022-04-21 11:00:00
2173,Zamach na dziesiątą muzę,Zbigniew Zamachowski,2022-04-21 14:00:00
2174,Nowy Świat po południu,Michał Porycki,2022-04-21 16:00:00
2175,Napiór w eterze,Marek Napiórkowski,2022-04-21 19:00:00
2176,Punkt widzenia,Beata Grabarczyk,2022-04-21 21:00:00
2177,Nocny świat,Mikołaj Kierski,2022-04-21 22:00:00
2178,Sejsmograf,Kinga Krasuska,2022-04-21 23:00:00
2179,Nasze nocne granie,Agnieszka Hejne,2022-04-22 00:00:00
2180,Muzyka do rana,,2022-04-22 01:00:00
2181,Poranna Manna,Wojciech Mann,2022-04-22 06:00:00
2182,Dobrze nastrojone,Marcelina Słomian,2022-04-22 10:00:00
2183,W środku dnia,Jan Niebudek,2022-04-22 11:00:00
2184,Świat nowej muzyki,Mateusz Andruszkiewicz,2022-04-22 13:00:00
2185,Klimaty na raty,Jan Janczy,2022-04-22 14:00:00
2186,Nowy Świat po południu,Michał Porycki,2022-04-22 16:00:00
2187,RadioAktywni,Jacek Nizinkiewicz,2022-04-22 19:00:00
2188,Sny kolorowe,Barbara Gregorczyk,2022-04-22 21:00:00
2189,Powidoki,Bruno Jasieński,2022-04-22 22:00:00
2190,U progu nocy,Kamil Wrona,2022-04-22 23:00:00
2191,Muzyka do rana,,2022-04-23 00:00:00
2192,Sobotni brzask,Maciej Jankowski,2022-04-23 07:00:00
2193,Koncert życzeń,"Joanna Kołaczkowska, Piotr Bukartyk",2022-04-23 10:00:00
2194,Deliberatorium,Beata Grabarczyk,2022-04-23 12:00:00
2195,Muzyczny gabinet terapeutyczny,Monika Borzym,2022-04-23 13:00:00
2196,Radiolokacja,"Barbara Gregorczyk, Maciej Grzenkowicz",2022-04-23 14:00:00
2197,Stulecie dziwów,Jerzy Sosnowski,2022-04-23 15:00:00
2198,Miłomuzomania,Kinga Krasuska,2022-04-23 16:00:00
2199,Mięta do (pop)kultury,Katarzyna Oklińska,2022-04-23 18:00:00
2200,"Szczyt wszystkiego, czyli każda lista świata","Mateusz Andruszkiewicz, Maciej Jankowski, Marcin Mann",2022-04-23 19:00:00
2201,TIP-TOP Lista Radia Nowy Świat,Michał Porycki,2022-04-23 20:00:00
2202,Domówka,Paweł Orlikowski,2022-04-23 22:00:00
2203,Muzyka do rana,,2022-04-24 00:00:00
2204,De Cuba Su Musica,Jose Torres,2022-04-24 08:00:00
2205,Soulówka,Mikołaj Tyczyński,2022-04-24 10:00:00
2206,Manniak po omacku,Wojciech Mann,2022-04-24 11:00:00
2207,Raczek movie,Tomasz Raczek,2022-04-24 13:00:00
2208,Wesoła warszawska fala,Jan Emil Młynarski,2022-04-24 14:00:00
2209,Pora siesty,Marcin Kydryński,2022-04-24 15:00:00
2210,W głębi duszy,Eliza Michalik,2022-04-24 17:00:00
2211,Nie tylko hip-hop,Mateusz Andruszkiewicz,2022-04-24 18:00:00
2212,Czytał Michał Nogaś,Michał Nogaś,2022-04-24 19:00:00
2213,Piosennik,Andrzej Poniedzielski,2022-04-24 20:00:00
2214,Dobrze nastrojone po polsku,Marcelina Słomian,2022-04-24 22:00:00
2215,Osobiste wycieczki,Maciej Grzenkowicz,2022-04-24 23:00:00
2216,Muzyka do rana,,2022-04-25 00:00:00
2217,Nowy świt,Maciej Orłoś,2022-04-25 06:00:00
2218,Rewersje,Bartek Winczewski,2022-04-25 10:00:00
2219,W środku dnia,Jan Niebudek,2022-04-25 11:00:00
2220,Dziękuję za wypowiedź,Adam Nowak,2022-04-25 14:00:00
2221,Nowy Świat po południu,Ksenia Maćczak,2022-04-25 16:00:00
2222,Strumień zdumień,Jan Chojnacki,2022-04-25 19:00:00
2223,JerzoBrzmienia,Jerzy Sosnowski,2022-04-25 21:00:00
2224,Muzyka bardzo poważna,Krzysztof Grabowski,2022-04-25 22:00:00
2225,Nasze nocne granie,Mikołaj Kierski,2022-04-26 00:00:00
2226,Muzyka do rana,,2022-04-26 01:00:00
2227,Nowy świt,Katarzyna Kasia,2022-04-26 06:00:00
2228,Motyw przewodni,Mateusz Kuśmierek,2022-04-26 10:00:00
2229,W środku dnia,Jan Niebudek,2022-04-26 11:00:00
2230,Personal bigos,Marcin Mann,2022-04-26 14:00:00
2231,Soulówka,Mikołaj Tyczyński,2022-04-26 15:00:00
2232,Nowy Świat po południu,Michał Porycki,2022-04-26 16:00:00
2233,Wagle,"Wojciech Waglewski, Fisz",2022-04-26 19:00:00
2234,Punkt widzenia,Beata Grabarczyk,2022-04-26 21:00:00
2235,90/h,Bartek Winczewski,2022-04-26 22:00:00
2236,Nasze nocne granie,,2022-04-27 00:00:00
2237,Muzyka do rana,,2022-04-27 01:00:00
2238,Nowy świt,Mateusz Andruszkiewicz,2022-04-27 06:00:00
2239,Wszystko gra,Maciej Jankowski,2022-04-27 10:00:00
2240,W środku dnia,Jan Niebudek,2022-04-27 11:00:00
2241,Dzieci bluesa,Jan Chojnacki,2022-04-27 14:00:00
2242,Nowy Świat po południu,Michał Porycki,2022-04-27 16:00:00
2243,Bon ton,Agnieszka Lipka-Barnett,2022-04-27 19:00:00
2244,Słowo daję,Jarosław Mikołajewski,2022-04-27 21:00:00
2245,Muzyka do czytania,Michał Nogaś,2022-04-27 22:00:00
2246,Nasze nocne granie,,2022-04-28 00:00:00
2247,Muzyka do rana,,2022-04-28 01:00:00
2248,Nowy świt,"Katarzyna Kasia, Grzegorz Markowski",2022-04-28 06:00:00
2249,Numer na bis,Maria Zamachowska,2022-04-28 10:00:00
2250,W środku dnia,Jan Niebudek,2022-04-28 11:00:00
2251,Zamach na dziesiątą muzę,Zbigniew Zamachowski,2022-04-28 14:00:00
2252,Nowy Świat po południu,Michał Porycki,2022-04-28 16:00:00
2253,Napiór w eterze,Marek Napiórkowski,2022-04-28 19:00:00
2254,Punkt widzenia,Beata Grabarczyk,2022-04-28 21:00:00
2255,Nocny świat,Mikołaj Kierski,2022-04-28 22:00:00
2256,Sejsmograf,Kinga Krasuska,2022-04-28 23:00:00
2257,Nasze nocne granie,,2022-04-29 00:00:00
2258,Muzyka do rana,,2022-04-29 01:00:00
2259,Poranna Manna,Wojciech Mann,2022-04-29 06:00:00
2260,Dobrze nastrojone,Marcelina Słomian,2022-04-29 10:00:00
2261,W środku dnia,Jan Niebudek,2022-04-29 11:00:00
2262,Świat nowej muzyki,Bartek Winczewski,2022-04-29 13:00:00
2263,Klimaty na raty,Jan Janczy,2022-04-29 14:00:00
2264,Nowy Świat po południu,Michał Porycki,2022-04-29 16:00:00
2265,RadioAktywni,Jacek Nizinkiewicz,2022-04-29 19:00:00
2266,Sny kolorowe,,2022-04-29 21:00:00
2267,Powidoki,Bruno Jasieński,2022-04-29 22:00:00
2268,U progu nocy,Kamil Wrona,2022-04-29 23:00:00
2269,Muzyka do rana,,2022-04-30 00:00:00
2270,Sobotni brzask,Maciej Jankowski,2022-04-30 07:00:00
2271,Koncert życzeń,,2022-04-30 10:00:00
2272,Deliberatorium,Beata Grabarczyk,2022-04-30 12:00:00
2273,Muzyczny gabinet terapeutyczny,Monika Borzym,2022-04-30 13:00:00
2274,Radiolokacja,"Barbara Gregorczyk, Maciej Grzenkowicz",2022-04-30 14:00:00
2275,Stulecie dziwów,Jerzy Sosnowski,2022-04-30 15:00:00
2276,Miłomuzomania,Kinga Krasuska,2022-04-30 16:00:00
2277,Mięta do (pop)kultury,Katarzyna Oklińska,2022-04-30 18:00:00
2278,"Szczyt wszystkiego, czyli każda lista świata","Mateusz Andruszkiewicz, Maciej Jankowski, Marcin Mann",2022-04-30 19:00:00
2279,TIP-TOP Lista Radia Nowy Świat,Michał Porycki,2022-04-30 20:00:00
2280,Domówka,Paweł Orlikowski,2022-04-30 22:00:00
2281,Muzyka do rana,,2022-05-01 00:00:00
2282,De Cuba Su Musica,Jose Torres,2022-05-01 08:00:00
2283,Przegląd piosenki socjalistycznej,Maciej Grzenkowicz,2022-05-01 10:00:00
2284,Manniak po omacku,Wojciech Mann,2022-05-01 11:00:00
2285,Raczek movie,Tomasz Raczek,2022-05-01 13:00:00
2286,Wesoła warszawska fala,Jan Emil Młynarski,2022-05-01 14:00:00
2287,Pora siesty,Marcin Kydryński,2022-05-01 15:00:00
2288,W głębi duszy,Eliza Michalik,2022-05-01 17:00:00
2289,Nie tylko hip-hop,Mateusz Andruszkiewicz,2022-05-01 18:00:00
2290,Czytał Michał Nogaś,Michał Nogaś,2022-05-01 19:00:00
2291,Piosennik,Andrzej Poniedzielski,2022-05-01 20:00:00
2292,Dobrze nastrojone po polsku,Marcelina Słomian,2022-05-01 22:00:00
2293,Przegląd piosenki socjalistycznej,Maciej Grzenkowicz,2022-05-01 23:00:00
2294,Muzyka do rana,,2022-05-02 00:00:00
2295,Nowy świt,Maciej Orłoś,2022-05-02 07:00:00
2296,Rewersje,Bartek Winczewski,2022-05-02 10:00:00
2297,W środku dnia,Jan Niebudek,2022-05-02 11:00:00
2298,Dziękuję za wypowiedź,Adam Nowak,2022-05-02 14:00:00
2299,Nowy Świat po południu,Ksenia Maćczak,2022-05-02 16:00:00
2300,Strumień zdumień,Jan Chojnacki,2022-05-02 19:00:00
2301,Punkt widzenia,Jerzy Sosnowski,2022-05-02 21:00:00
